id,發布日期,標題,報驗受理日期,進口商(公司名稱),製造廠或出口商名稱
4164,2015/04/14,"中國大陸出口「冷凍草莓(FROZEN STRAWBERRY)」檢出殘留農藥含量不符規定",2015/03/17,大湖草莓農場,"YUANKANG IMPORT AND EXPORT CO.,LTD"
4165,2015/04/14,"韓國出口「濟州商會正宗A級泡菜辣椒粉(香辣)(RED PEPPER POWDER)」檢出殘留農藥含量不符規定",2015/03/17,俄梅珥有限公司,濟州商會
4166,2015/04/14,"美國出口「SPICE HUNTER黑胡椒細粉(SH01706 081057-017067 PEPPER BLACK FINE GROUND)」檢出殘留農藥含量不符規定",2015/03/19,保灃國際股份有限公司,"THE SPICE HUNTER INC/USA"
4167,2015/04/14,法國出口「COMPROIR海膽醬(URCHIN&#160;TARAMA)」檢出防腐劑含量不符規定,2015/03/19,東遠國際有限公司,"COMPROIR DU CAVIAR"
4168,2015/04/14,"丹麥出口「PARIS GASTRONOMY萵苣綜合生菜(FRESH MESCLUM MIXED BABY SALADS)」檢出殘留農藥含量不符規定",2015/03/19,東遠國際有限公司,"PARIS GASTRONOMY"
4150,2015/04/14,日本出口「MEIJI明治超級杯(香草+巧克力脆片)」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/07,臺隆工業股份有限公司,"株式會社明治 K1"
4149,2015/04/13,日本出口「RIKEN香草香料」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/07,孝青食品香料有限公司,"PROSAGE CO.,LTD."
4136,2015/04/10,日本出口「NABISCONB麗詩餅-檸檬夾心」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/19,盛裕貿易有限公司,NABISCO可株式會社
4137,2015/04/10,日本出口「NESTLE雀巢KITKAT巧克力-燒芝士蛋糕味」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/19,盛裕貿易有限公司,NESTLE株式會社
4138,2015/04/10,日本出口「NABISCONB奧利奧軟黑餅-宇治抹茶味」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/19,盛裕貿易有限公司,日本國NABISCO株式會社
4139,2015/04/10,日本出口「KABAYA卡巴屋熊貓草莓巧克力餅乾」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/19,盛裕貿易有限公司,KABAYA食品株式會社
4140,2015/04/10,日本出口「FUJIYA不二家果凍」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/30,向虹園貿易有限公司,(株)不二家
4105,2015/04/07,日本出口「NESTLE宇治抹茶拿鐵」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/17,恩旺貿易有限公司,NESTLE株式會社
4106,2015/04/07,日本出口「TOSUI東水浜鹽速食杯」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/30,向虹園貿易有限公司,東洋水產(株)
4107,2015/04/07,"日本出口「QPQP 日式美乃滋400G」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"QP 株式會社"
4108,2015/04/07,"日本出口「QPQP 芝麻沙拉醬 150ML」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"QP 株式會社"
4109,2015/04/07,"日本出口「KIRINKIRIN 雙倍茶葉奶茶」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"KIRIN BEVERAGE株式會社"
4110,2015/04/07,"日本出口「KIRINKIRIN 水蜜桃芒果風味飲料 瓶裝」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"KIRIN BEVERAGE株式會社"
4111,2015/04/07,"日本出口「KIRIN小岩井 白桃風味果汁飲料」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"KIRIN BEVERAGE株式會社"
4112,2015/04/07,"日本出口「KIRINKIRIN FIRE 雙重藍山咖啡」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"KIRIN BEVERAGE株式會社"
4113,2015/04/07,"日本出口「KIRINKIRIN FIRE 雙重藍山黑咖啡」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"KIRIN BEVERAGE株式會社"
4114,2015/04/07,"日本出口「SUNTORYSUNTORY BOSS休日咖啡」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"SUNTORY食品 株式會社"
4115,2015/04/07,"日本出口「DAISHODAISHO 添味胡椒鹽」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,株式會社DAISHO
4116,2015/04/07,"日本出口「日本製粉NIPPN OH’MY 鬆餅粉 200G」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"日本製粉 株式會社"
4117,2015/04/07,"日本出口「日本製粉NIPPN OH’MY 鬆餅粉 600G」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"日本製粉 株式會社"
4118,2015/04/07,日本出口「慶應產業株式會社炸麻糬(醬油口味)」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/30,東西國際貿易有限公司,慶應產業株式會社
4119,2015/04/07,日本出口「MIKOYA楓糖精」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/30,其祥食品有限公司,MIKOYA香商株式會社
4120,2015/04/07,日本出口「MIKOYA楓糖精」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/27,其祥食品有限公司,MIKOYA香商株式會社
4121,2015/04/07,"日本出口「MIKOYAUNREFINED SUGAR SPICE RAW MATERIAL黑糖精」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/30,其祥食品有限公司,MIKOYA香商株式會社
4122,2015/04/07,"日本出口「MIKOYAVANILLA SPICE RAW MATERIAL 香草精」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/30,其祥食品有限公司,MIKOYA香商株式會社
4123,2015/04/07,"印度出口「芝麻(BROWN SESAME SEEDS (DRIED))」檢出殘留農藥含量不符規定",2015/02/27,年農貿易有限公司,"OM INDIA TRADING COMPANY PVT. LTD."
4124,2015/04/07,"日本出口「DOUTOR熱紅茶葉 760237(HOT TEA BLEND)」檢出殘留農藥含量不符規定",2015/03/03,台灣羅多倫和餐餐飲股份有限公司,日本レストランサプライ株式會社
4125,2015/04/07,"日本出口「DOUTOR冰紅茶葉 760444(ICED TEA BLEND)」檢出殘留農藥含量不符規定",2015/03/03,台灣羅多倫和餐餐飲股份有限公司,日本レストランサプライ株式會社
4126,2015/04/07,"越南出口「紅茶(BLACK TEA)」檢出殘留農藥含量不符規定",2015/03/06,和洛貿易有限公司,"HOAI TRUNG TEA CO., LTD."
4127,2015/04/07,"越南出口「紅茶葉(BLACK TEA DSC)」檢出殘留農藥含量不符規定",2015/03/09,憬謚企業有限公司,"TON VINH TECHNOLOGY AND TRADE DEVELOPMENT COMPANY LIMITED"
4128,2015/04/07,"美國出口「TEA FORTE INC15177 罐裝茶葉系列-白薑梨花茶(15177 LTC WHITE GINGER PEAR)」檢出殘留農藥含量不符規定",2015/03/11,傑爾富貿易有限公司,"TEA FORTE INC"
4129,2015/04/07,"美國出口「AGRI-PACIFIC INTL TRADING春天綜合生菜(盒)(SPRING&#160;MIX&#160;0.9K/CTN)」檢出殘留農藥含量不符規定",2015/03/11,尚農實業有限公司,"AGRI-PACIFIC INTL TRADING"
4130,2015/04/07,"美國出口「AGRI-PACIFIC INTL TRADING羅曼綜合生菜(盒)(ROMAINE&#160;MIX&#160;0.9K/CTN)」檢出殘留農藥含量不符規定",2015/03/11,尚農實業有限公司,"AGRI-PACIFIC INTL TRADING"
4131,2015/04/07,"美國出口「AGRI-PACIFIC INTL TRADING芝麻葉生菜(盒)(ARUGULA&#160;0.9K/CTN)」檢出殘留農藥含量不符規定",2015/03/11,尚農實業有限公司,"AGRI-PACIFIC INTL TRADING"
4132,2015/04/07,"越南出口「紅茶(BLACK TEA FA)」檢出殘留農藥含量不符規定",2015/03/12,煥翔實業有限公司,"THANG LONG TEA CO.,LTD."
4133,2015/04/07,"越南出口「紅茶(BLACK TEA FA)」檢出殘留農藥含量不符規定",2015/03/12,煥翔實業有限公司,"THANG LONG TEA CO.,LTD."
4134,2015/04/07,"日本出口「LONG DE TRADE CO., L柑橘(FRESH&#160;YUZU)」檢出殘留農藥含量不符規定",2015/03/13,富帆商店,"LONG DE TRADE CO., LTD."
4135,2015/04/07,"中國大陸出口「SICHUAN MIANZHU冷凍荔枝肉((食用) FROZEN LYCHEE PULP冷凍荔枝肉)」檢出殘留農藥含量不符規定",2015/03/13,建昌食品股份有限公司,"SICHUAN MIANZHU NEW SEA IMPORT &amp; EXPORT CO., LTD."
4104,2015/04/02,日本出口「TOYOSUISAN豆皮烏龍麵」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/24,冠揚貿易有限公司,東洋水產株式會社
4102,2015/04/01,日本出口「MORINAGA抹茶夾心蛋糕」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/24,冠揚貿易有限公司,森永製菓株式會社
4103,2015/04/01,"日本出口「DAISHODAISHO 粗粒胡椒鹽」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/23,裕毛屋企業股份有限公司,"株式會社 DAISHO"
4079,2015/03/31,"日本出口「NITORI丼碗(8902258 BOWL SHINKOHAKISOUMOKUME BR)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/01/26,宜得利家居股份有限公司,"NITORI CO., LTD"
4080,2015/03/31,"日本出口「DAISO保存容器(4984355159834COOKING PACK 2 SMALL SIZE 28.1 FL OZ.)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/01/28,台灣大創百貨股份有限公司,大創產業株式會社
4081,2015/03/31,德國出口「HANSAL德國賀壽綜合維他命發泡錠(3700012&#160;HANSAL&#160;MULTIVITAMIN&#160;EFF.&#160;TABLETS)」檢出甜味劑含量不符規定,2015/02/02,允富國際股份有限公司,"SANOTACT GMBH"
4082,2015/03/31,德國出口「HANSAL德國賀壽維他命C發泡錠(3710012&#160;HANSAL&#160;VITAMIN&#160;C&#160;EFF.&#160;TABLETS)」檢出甜味劑含量不符規定,2015/02/02,允富國際股份有限公司,"SANOTACT GMBH"
4083,2015/03/31,"德國出口「HANSAL德國賀壽鈣+維他命C發泡錠
(3735012&#160;HANSAL&#160;CA&#160;+&#160;C&#160;EFF.&#160;TABLETS)」檢出甜味劑含量不符規定",2015/02/02,允富國際股份有限公司,"SANOTACT GMBH"
4084,2015/03/31,"新加坡出口「TWG哈爾木緹茶 SFTGFOP1(T501 - HARMUTTY  SFTGFOP1)」檢出殘留農藥含量不符規定",2015/02/13,特威茶葉有限公司,"TWG TEA COMPANY PTE. LTD."
4085,2015/03/31,"新加坡出口「TWG煎茶茗茶(T801 - SENCHA MEICHA)」檢出殘留農藥含量不符規定",2015/02/13,特威茶葉有限公司,"TWG TEA COMPANY PTE. LTD."
4086,2015/03/31,"越南出口「紅茶(BLACK TEA PS輸入供食品用)」檢出殘留農藥含量不符規定",2015/02/13,一茗茶業行,"DAI DONG EXPORT-PROCESSING TEA COMPANY LIMITED"
4087,2015/03/31,"美國出口「PIONEER馬鈴薯(FRESH POTATO)」檢出殘留農藥含量不符規定",2015/02/24,佳藍園藝工程有限公司,"CANAAN USA CO."
4088,2015/03/31,"日本出口「HARVEY INT'L CO.,LTD帕瑪森起司風味調味粉(SEASONING H-17619 PARMESAN CHEESE PLUS)」檢出防腐劑含量不符規定",2015/02/24,統一雅瑪珂股份有限公司,"HARVEY INTERNATIONAL CO.,LTD"
4089,2015/03/31,"美國出口「BONGARDS邦果108片美國起司(PASTEURIZED PROCESS AMERICAN CHEESE)」檢出防腐劑含量不符規定",2015/02/24,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4090,2015/03/31,"美國出口「BONGARDS邦果108片美國起司(PASTEURIZED PROCESS AMERICAN CHEESE)」檢出防腐劑含量不符規定",2015/02/24,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4091,2015/03/31,"美國出口「BONGARDS邦果184片美國起司(PASTEURIZED PROCESS AMERICAN CHEESE)」檢出防腐劑含量不符規定",2015/02/24,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4092,2015/03/31,"中國大陸出口「新鮮奇異果(FRESH KIWIFRUIT)」檢出殘留農藥含量不符規定",2015/02/26,臺北農產運銷股份有限公司,"SHAANXI QIFENG FRUIT INDUSTRY CO.,LTD"
4093,2015/03/31,"中國大陸出口「TOSHO冷凍荔枝肉((食用) FROZEN LYCHEE PULP冷凍荔枝肉)」檢出殘留農藥含量不符規定",2015/02/26,東照企業股份有限公司,"TOSHO ENTERPRISES LTD."
4094,2015/03/31,"日本出口「DAISO保存容器(4984355159902COOKING PACK 9 LARGE SIZE 4.2 PT.)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/02/27,台灣大創百貨股份有限公司,大創產業株式會社
4095,2015/03/31,"日本出口「HONMEIICHIZAN CO.,LT鮮萬能蔥(FRESH&#160;PERILLA&#160;BLOSSOM)」檢出殘留農藥含量不符規定",2015/03/02,元億水產有限公司,"HONMEIICHIZAN CO.,LTD"
4096,2015/03/31,"法國出口「PALAIS DES THES大笨鐘紅茶(A705 BIG BEN G.F.O.P. 20 (SAC DE 2KG) BIG BEN G.F.O.P. 20 (BAG OF 2 KG))」檢出殘留農藥含量不符規定",2015/03/02,威鯨共和國際有限公司,"PALAIS DES THES"
4097,2015/03/31,"印尼出口「GUNUNG POTENG脆酥球(A CE007 GUNUNG POTENG KACANG TELUR)」檢出甜味劑含量不符規定",2015/03/02,廷立實業有限公司,"GUNUNG POTENG"
4098,2015/03/31,"美國出口「BONGARDS邦果108片美國起司(PASTEURIZED PROCESS AMERICAN CHEESE)」檢出防腐劑含量不符規定",2015/03/02,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4099,2015/03/31,"美國出口「BONGARDS邦果184片美國起司(PASTEURIZED PROCESS AMERICAN CHEESE)」檢出防腐劑含量不符規定",2015/03/02,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4100,2015/03/31,"美國出口「BONGARDS邦果120片美國起司 (PASTEURIZED PROCESS SWISS CHEESE)」檢出防腐劑含量不符規定",2015/03/02,華冠乳品股份有限公司,"BONGARDS' CREAMERIES,INC."
4101,2015/03/31,"中國大陸出口「ZARA HOME馬克杯(8771/210 TABLEWARE (MUG))」檢出其它衛生項目不符規定(蒸發殘渣含量不符規定)",2015/03/03,荷蘭商颯拉家飾股份有限公司台灣分公司,"ZARA HOME ESPANA S.A."
