id,發布日期,標題,報驗受理日期,進口商(公司名稱),製造廠或出口商名稱
4230,2015/05/06,"日本出口「HANAMARUKI壽司屋 蟹膏味噌湯」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/13,台灣大創百貨股份有限公司,HANAMARUKI株式會社
4231,2015/05/06,"日本出口「SANGARIASANGARIA 咖啡歐蕾」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/13,台灣大創百貨股份有限公司,日本SANGARIA株式會社
4232,2015/05/06,日本出口「CALBEE蝦味薯條」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/24,三燦貿易有限公司,CALBEE株式會社
4233,2015/05/06,日本出口「CALBEE蝦味4連薯條」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/24,三燦貿易有限公司,CALBEE株式會社
4198,2015/05/05,"日本出口「NO BRAND調味料」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/04/08,魔術食品工業股份有限公司,紅梅食品工業株式會社
4199,2015/05/05,"日本出口「NO BRAND調味料」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/04/08,魔術食品工業股份有限公司,紅梅食品工業株式會社
4215,2015/05/05,"中國大陸出口「DAISO胡椒鹽罐(4997642066937SPICE BOTTLE SET)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/02/27,台灣大創百貨股份有限公司,大創產業株式會社
4216,2015/05/05,"日本出口「DAISO保存容器(4939491801543PASTA CONTAINER 1.3L)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/02/27,台灣大創百貨股份有限公司,大創產業株式會社
4217,2015/05/05,"日本出口「AFTERNOON TEA里昂花園保鮮盒4入組 小(4514503898140 FOOD CONTAINER)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/03/12,統一午茶風光股份有限公司,"SAZABY-LEAGUE LTD"
4218,2015/05/05,"日本出口「冷凍微波保鮮盒粉紅(HP FOOD CONTAINER E 2P PINK (FROZEN TO MICROWAVE) PP)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/03/16,彬松科技股份有限公司,"TOA ELECTRIC INDUSTRIAL CO.,LTD."
4219,2015/05/05,中國大陸出口「菊花(菊花)」檢出殘留農藥含量不符規定,2015/03/20,陸惠中藥有限公司,"SHANGHAI MEDICINES &amp; HEALTH PRODUCTS IMP.&amp; EXP CORP"
4220,2015/05/05,"日本出口「乾燥食鹽顆粒(DRIED SALT GRANULE)」檢出殘留農藥含量不符規定",2015/03/31,英浩國際貿易有限公司,日研食品株式會社
4221,2015/05/05,中國大陸出口「乾百合」檢出漂白劑含量不符規定,2015/03/31,今驥貿易股份有限公司,"FUJIAN JIANNING LONGWEI IMPORT AND EXPORT CO.,LTD."
4222,2015/05/05,"印尼出口「ABC蝦膏(ABC BRAND TERASI UDANG)」檢出防腐劑含量不符規定",2015/04/01,連發國際食品有限公司,"PT.HEINZ ABC INDONESIA"
4223,2015/05/05,"緬甸出口「金甕牌金甕牌 緬甸陳皮檸檬甘草鹽150G」檢出甜味劑含量不符規定",2015/04/02,發路達國際貿易有限公司,"SHWE OO WAY"
4224,2015/05/05,肯亞出口「GREENERY&#160;PRODUCE&#160;B.V.羅勒(BASIL)」檢出殘留農藥含量不符規定,2015/04/05,佳藍園藝工程有限公司,GREENERY&#160;PRODUCE&#160;B.V.
4225,2015/05/05,"泰國出口「TAIWIN美國香菜(STINKING(ERYNGIUM FOETIDUM))」檢出殘留農藥含量不符規定",2015/04/06,隆德灣國際有限公司,"TAIWIN INTERNATIONAL CO.,LTD."
4226,2015/05/05,"日本出口「YAJI CO LTD櫻桃(CHERRY)」檢出殘留農藥含量不符規定",2015/04/07,尚農實業有限公司,"YAJI CO LTD"
4227,2015/05/05,"日本出口「YAJI CO LTD小蔥(KONEGI)」檢出殘留農藥含量不符規定",2015/04/07,尚農實業有限公司,"YAJI CO LTD"
4228,2015/05/05,"緬甸出口「SHWE SIN OO TRADING LIMITED乾綠豆(GREEN MUNG BEANS (DRIED) (未去殼) (輸入供食品用途) 產品批號:037/SSO/LW/2015)」檢出殘留農藥含量不符規定",2015/04/07,農維實業有限公司,"SHWE SIN OO TRADING LIMITED"
4229,2015/05/05,中國大陸出口「菊花，乾燥」檢出殘留農藥含量不符規定,2015/04/07,璟元堂生物科技有限公司,"SHENZHEN UNION FA TRADING CO.,LTD."
4195,2015/04/29,"日本出口「DOUTOR咖啡奶球 20」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/31,台灣羅多倫和餐餐飲股份有限公司,"株式會社DOUTOR COFFEE"
4196,2015/04/29,日本出口「DOUTOR即溶卡布奇諾咖啡10727」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/31,台灣羅多倫和餐餐飲股份有限公司,"株式會社DOUTOR COFFEE"
4197,2015/04/29,"日本出口「DOUTOR咖啡奶球 50」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品)",2015/03/31,台灣羅多倫和餐餐飲股份有限公司,"株式會社DOUTOR COFFEE"
4189,2015/04/28,"緬甸出口「乾綠豆(GREEN MUNG BEANS WITH HULLS (DRIED))」檢出殘留農藥含量不符規定",2015/03/23,緯承實業股份有限公司,"DIAMOND CENTURY CO LTD"
4190,2015/04/28,"緬甸出口「乾綠豆(GREEN MUNG BEANS WITH HULLS (DRIED))」檢出殘留農藥含量不符規定",2015/03/24,緯承實業股份有限公司,"SHWE SIN OO TRADING LIMITED"
4191,2015/04/28,"越南出口「金萱茶(半發酵)(JIN SHUAN TEA)」檢出殘留農藥含量不符規定",2015/03/26,苡勒實業有限公司,"FU SHENG CO.,LTD."
4192,2015/04/28,"緬甸出口「綠豆(GREEN MUNG BEANS)」檢出殘留農藥含量不符規定",2015/03/27,僑聯食品加工廠股份有限公司,"TRIPLE FISH COMPANY LIMITED."
4193,2015/04/28,"日本出口「HONMEIICHIZAN CO.,LT鮮萬能蔥(FRESH GREEN ONION)」檢出殘留農藥含量不符規定",2015/03/30,元億水產有限公司,"HONMEIICHIZAN CO.,LTD"
4194,2015/04/28,"日本出口「LONG DE TRADE CO., L甜椒(FRESH&#160;SHISHITOU)」檢出殘留農藥含量不符規定",2015/03/31,富帆商店,"LONG DE TRADE CO., LTD."
4187,2015/04/27,日本出口「GLICO洋蔥薯條餅乾棒」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/09,恩旺貿易有限公司,"江崎GLICO株式會社 11"
4188,2015/04/27,日本出口「MORINAGA森永三色水果軟糖」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/17,鴻瑩貿易有限公司,森永製果(株)
4172,2015/04/21,"越南出口「紅茶(BLACK TEA FA)」檢出殘留農藥含量不符規定",2015/03/19,煥翔實業有限公司,"THANG LONG TEA CO.,LTD."
4173,2015/04/21,"越南出口「紅茶(BLACK TEA PS)」檢出殘留農藥含量不符規定",2015/03/19,煥翔實業有限公司,"THANG LONG TEA CO.,LTD."
4174,2015/04/21,"印尼出口「LEGONG BALI生脆片(A CA020 ALOHA CASSAVA CRACKERS)」檢出甜味劑含量不符規定",2015/03/20,廷立實業有限公司,"LEGONG BALI FOOD"
4175,2015/04/21,"越南出口「THANH QUANG TEA紅茶BLACK TEA OPA11」檢出殘留農藥含量不符規定",2015/03/20,葦蕎企業有限公司,"THANH QUANG TEA EXPORT PROVATE COMPANY"
4176,2015/04/21,"印度出口「芝麻(BROWN SESAME SEEDS(WITH HULLS))」檢出殘留農藥含量不符規定",2015/03/23,銘豪實業有限公司,"KEVENTER AGRO LIMITED"
4177,2015/04/21,"越南出口「鹽漬辣椒(SALTED CHILLI)」檢出殘留農藥含量不符規定",2015/03/23,僑揚貿易有限公司,"CHI CUONG AGRICULTURAL PROCESSING EXPORT ENTERPRISE"
4178,2015/04/21,"日本出口「YAJI CO LTD柑(ORANGE(UNSHIU))」檢出殘留農藥含量不符規定",2015/03/24,尚農實業有限公司,"YAJI CO LTD"
4179,2015/04/21,"美國出口「美國切達起司片(CHEESE-4/5# X 200 SL AMER GREAT ASSET)」檢出防腐劑含量不符規定",2015/03/26,資和實業有限公司,庄園乳酪企業股份有限公司
4180,2015/04/21,"丹麥出口「PARIS GASTRONOMY紅甜菜(FRESH SALAD PANACHE)」檢出殘留農藥含量不符規定",2015/03/26,東遠國際有限公司,"PARIS GASTRONOMY"
4181,2015/04/21,"日本出口「LONG DE TRADE CO., L甜椒(FRESH&#160;SHISHITOU)」檢出殘留農藥含量不符規定",2015/03/27,富帆商店,"LONG DE TRADE CO., LTD."
4182,2015/04/21,日本出口「HANAMARUKI白味噌」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/03/25,台灣食研食品股份有限公司,HANAMARUKI株式會社
4169,2015/04/17,日本出口「小林製?株式會社黃豆粉豆」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/09,東西國際貿易有限公司,小林製菓株式會社
4170,2015/04/17,日本出口「小林製?株式會社海苔豆」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/09,東西國際貿易有限公司,小林製菓株式會社
4171,2015/04/17,日本出口「小林製?株式會社磯小判(綜合豆菓子)」檢出其它衛生項目不符規定(公告暫停受理查驗之日本5縣產品),2015/04/09,東西國際貿易有限公司,小林製菓株式會社
4151,2015/04/14,"日本出口「DAISO保存容器(4984355153481MICROWAVE PACK C SHALLOW APPLE PATTERN 24.8 FL OZ.)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/02/09,台灣大創百貨股份有限公司,KPTEC株式會社
4152,2015/04/14,"日本出口「DAISO保存容器(4970404011055PLASTIC CONTAINER)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/02/13,台灣大創百貨股份有限公司,大創產業株式會社
4153,2015/04/14,"日本出口「AFTERNOON TEA里昂花園保鮮盒3入組(4514503898164 FOOD CONTAINER)」檢出其它衛生項目不符規定(其他衛生項目不符規定)",2015/03/02,統一午茶風光股份有限公司,"ICL INC."
4154,2015/04/14,"越南出口「萬得福鹽漬碎辣椒(SALTED GRINDED CHILLI)」檢出殘留農藥含量不符規定",2015/03/03,萬德富行銷有限公司,萬得福食品責任有限公司
4155,2015/04/14,"智利出口「SUBSOLE進口智利無籽紅葡萄(FRESH GRAPES (183337) CHILE RED SEEDLESS GRAPE)」檢出殘留農藥含量不符規定",2015/03/09,好市多股份有限公司,"EXPORTADORA SUBSOLE S.A."
4156,2015/04/14,"越南出口「紅茶葉(BLACK TEA DSB)」檢出殘留農藥含量不符規定",2015/03/09,憬謚企業有限公司,"TON VINH TECHNOLOGY AND TRADE DEVELOPMENT COMPANY LIMITED"
4157,2015/04/14,"德國出口「IRONMAXX艾瑞麥斯濃縮乳清蛋白(拿鐵瑪奇朵口味)(100% WHEY PROTEIN  LATTE MACCHIATO)」檢出甜味劑含量不符規定",2015/03/10,慶奉企業有限公司,"IRONMAXX NUTRITION GMBH"
4158,2015/04/14,"西班牙出口「SOSA覆盆子風味粉(POWDERED RASPBERRIES)」檢出殘留農藥含量不符規定",2015/03/11,聯馥食品股份有限公司,"SOSA INGREDIENTS S.L."
4159,2015/04/14,"韓國出口「NH TRADING CO., LTD.大白菜，生鮮或冷藏(FRESH CHINESE CABBAGE)」檢出殘留農藥含量不符規定",2015/03/12,簡明宏有限公司,"NH TRADING CO., LTD."
4160,2015/04/14,"智利出口「SUN KING鮮葡萄(FRESH GRAPES VARIETY: RED GLOBE N.W.: 8.2KGS/CTN (SHIPPED BY REFRIGERATED CONTAINER) (食用) 批號:I/V NO.T186028)」檢出殘留農藥含量不符規定",2015/03/13,慧聲貿易有限公司,"COMPANIA FRUTERA DEL NORTE S.A."
4161,2015/04/14,"日本出口「HONMEIICHIZAN CO.,LT鮮酸橘(FRESH YELLOW CITRON)」檢出殘留農藥含量不符規定",2015/03/16,元億水產有限公司,"HONMEIICHIZAN CO.,LTD"
4162,2015/04/14,"中國大陸出口「ZARA HOME馬克杯(3393/401 TABLEWARE (TUMBLER))」檢出其它衛生項目不符規定(蒸發殘渣含量不符規定)",2015/03/16,荷蘭商颯拉家飾股份有限公司台灣分公司,"ZARA HOME ESPANA S.A."
4163,2015/04/14,"中國大陸出口「ZARA HOME馬克杯(8666/401 TABLEWARE (TUMBLER))」檢出其它衛生項目不符規定(蒸發殘渣含量不符規定)",2015/03/16,荷蘭商颯拉家飾股份有限公司台灣分公司,"ZARA HOME ESPANA S.A."
